f1,tn,fp,fn,tp,threshold,model,params
0.8827586206896552,62,8,9,64,0.03,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.05,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.06999999999999999,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.09,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.11,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.13,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.15000000000000002,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.17,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.19,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.21000000000000002,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.23,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.25,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.27,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.29000000000000004,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.31,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
0.8827586206896552,62,8,9,64,0.33,DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_split': 2, 'splitter': 'best'}"
